Process Node,EPS(kWh/cm2),GPS (g/cm2),MPS (g/cm2)
28nm,0.9,100,500
20nm,1.2,110,500
14nm,1.2,125,500
10nm,1.475,150,500
7nm,1.52,200,500
7-EUV,2.15,200,500
7-EUV-DP,2.15,200,500
5nm,2.75,225,500
3nm,2.75,275,500
